;;;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year
Quebec;July;a;178;318;54;129;27;170;55;143;106;140;137;109;249;78;39;431;129;63;18;21;89;71;268;138;66;40;141;88;201;120;105;37;49;
Quebec;August;a;138;162;59;81;30;367;209;146;171;165;52;324;166;91;26;313;49;192;35;26;95;58;86;40;67;30;86;57;38;96;36;93;51;
Quebec;September;a;118;32;14;10;17;53;92;22;34;120;44;41;205;53;36;104;42;26;12;32;21;29;32;15;11;21;17;16;18;21;27;37;24;
Quebec;October;a;4;6;7;4;46;23;19;44;29;5;25;8;11;12;29;3;8;28;9;2;7;26;7;15;5;9;25;22;13;9;3;12;16;
Quebec;November;a;;5;2;1;7;1;1;1;8;7;4;2;1;;1;1;1;3;2;7;4;5;3;3;4;3;5;2;1;;7;7;35;
Quebec;December;a;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;1;
Quebec;Unspecified;a;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;
Quebec;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;713
Saskatchewan;January;a;;2;;2;1;;1;;;;1;4;2;;;;11;;1;1;1;;;;;;;;;1;1;;;
Saskatchewan;February;a;;;;1;;;1;;;;;1;3;;2;;19;;;;;;;;;;;;;;2;;;
Saskatchewan;March;a;2;1;3;21;1;;;;;1;4;3;3;;1;;7;;;;1;;1;;;1;;1;;;2;2;2;
Saskatchewan;April;a;18;79;50;47;28;10;6;10;107;51;46;121;35;48;19;15;79;44;28;59;56;20;40;4;5;74;87;16;50;41;12;51;11;
Saskatchewan;May;a;103;127;103;219;95;222;62;92;292;100;72;158;292;135;80;76;60;78;161;193;103;144;89;177;142;195;111;76;178;73;49;85;90;
Saskatchewan;June;a;275;75;151;216;153;283;123;52;216;158;137;200;345;73;26;32;204;76;265;201;166;68;38;51;37;258;125;15;125;59;35;65;71;
Saskatchewan;July;a;130;111;150;82;74;85;161;150;355;252;89;116;183;221;166;191;77;124;98;14;190;19;169;48;111;148;53;72;61;58;26;303;131;
Saskatchewan;August;a;314;272;215;30;193;18;53;168;220;158;46;154;21;146;31;17;41;47;31;17;64;15;72;115;97;38;23;138;30;14;31;92;71;
Saskatchewan;September;a;45;48;18;22;142;20;15;15;71;6;15;74;5;15;3;5;10;3;7;29;;28;15;48;10;8;9;37;1;2;27;16;49;
Saskatchewan;October;a;10;31;7;3;10;9;3;2;6;7;11;44;2;20;3;2;3;2;12;;1;13;2;6;3;12;;13;7;3;8;26;25;
Saskatchewan;November;a;;14;2;2;;3;;;;7;;;;;1;;5;;;1;;1;2;;;1;;;;2;8;1;;
Saskatchewan;December;a;;2;;;;1;;;1;;;;;;;;9;;;;;;;;;;;;;5;;1;;
Saskatchewan;Unspecified;a;;;;;;;;;;;1;;6;;;;;;7;27;;;;;;;;;;;;;;
Saskatchewan;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;462
Yukon;January;a;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
Yukon;March;a;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yukon;April;a;3;8;;1;5;4;2;;2;2;;1;;3;;1;1;1;;;;1;;;1;;2;3;1;4;;1;;
Yukon;May;a;15;28;9;21;16;31;19;23;44;10;8;8;17;13;5;12;3;10;11;9;20;24;4;7;4;95;8;9;6;25;7;3;;
Yukon;June;a;19;109;26;45;47;80;72;34;36;49;36;30;30;30;138;45;32;50;40;30;38;13;74;100;14;83;15;45;11;18;10;28;;
Yukon;July;a;69;33;72;48;113;22;44;37;73;36;3;20;19;20;100;20;36;25;6;60;18;14;29;29;10;5;19;32;21;64;4;70;;
Yukon;August;a;32;9;9;10;73;6;7;13;35;61;;9;4;4;33;4;5;15;10;16;10;1;19;39;5;2;8;25;11;4;1;12;;
Yukon;September;a;14;;;10;1;2;3;3;7;1;;;;2;5;1;2;;2;;;3;1;2;;1;1;1;1;3;2;;;
Yukon;October;a;2;;;1;;;;2;;;;;;;1;;1;10;1;;2;;;;;;;;;;;;;
Yukon;November;a;;;;;;1;;;;;;;;5;;;;;;;;;;;;;;;;;;;;
Yukon;December;a;;;;;;;;;;;;;;;;;;;6;3;;;;;;;;;;;;;;
Yukon;Unspecified;a;;;;;;1;;;1;;8;;;;;;;;;;;;;;;;;;;;;;289;
Yukon;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;218
