;;;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year
Yukon;May;a;4,106;106;9;17;4;1,097;8;81;66,483;3,125;4;5;21;12;8;26;2;13,987;5;43,847;61,654;33,238;48;23;1;71,52;273;2,887;168;135,237;11;0;;
Yukon;June;a;145;110,311;32,568;36,331;74,563;252,763;64,998;12;2,416;170,131;7,635;16,657;32,984;20,286;1,485,372;176,742;42,993;11,981;12,649;19,662;63,101;2,511;51,881;178,187;3,117;98,321;21,232;251,053;16,782;64,18;3,403;7,164;;
Yukon;July;a;177,62;9,63;5,163;17,76;254,868;7,199;25,361;11,369;261,646;8,901;10;559;3,198;27,772;220,116;10,67;51,467;11,473;195;162,593;21,12;4,598;4,463;16,681;42;1;21;139,183;54,7;56,49;50;6,945;;
Yukon;August;a;932;218;76;60,954;92,276;0;700;2;13,123;12,659;;113;0;98;14,129;0;571;625;110;3,795;964;3;1,89;3,423;1;0;11;6,156;6,635;34;0;366;;
Yukon;September;a;89;;;43;0;1;0;4;1;0;;;;0;38;0;0;;0;;;114;0;0;;;0;;0;125;0;;;
Yukon;October;a;1;;;0;;;;1;;;;;;;0;;0;292;0;;123;;;;;;;;;;;;;
Yukon;November;a;;;;;;0;;;;;;;;616;;;;;;;;;;;;;;;;;;;;
Yukon;December;a;;;;;;;;;;;;;;;;;;;109;615;;;;;;;;;;;;;;
Yukon;Unspecified;a;;;;;;503;;;59;;367;;;;;;;;;;;;;;;;;;;;;;170,367;
Yukon;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;373,92
