Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollStd_3,RollSum_3,is_summer,Month_sin,Month_cos,Jurisdiction_raw,REG_Alberta,REG_British Columbia,REG_Manitoba,REG_New Brunswick,REG_Newfoundland and Labrador,REG_Northwest Territories,REG_Nova Scotia,REG_Ontario,REG_Prince Edward Island,REG_Quebec,REG_Saskatchewan,REG_Yukon,temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,temperature_2m_max (°C)_lag1,relative_humidity_2m_min (%)_lag1,et0_fao_evapotranspiration (mm)_lag1,summer_temp,summer_dryness,summer_lag,pre_summer_heat,spring_dryness
9,2019,95,126,155,194,158.33333333333334,34.12232895529617,475.0,0,-1.0,-1.8369701987210297e-16,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,16.46989247311828,65.54838709677419,23.20107526881721,36.87096774193548,3.465483870967742,0.0,0.0,0,62.40010752688171,11.367992831541216
10,2019,16,95,126,155,125.33333333333333,30.005555041249647,376.0,0,-0.8660254037844386,0.5000000000000001,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,11.74888888888889,74.2,17.035555555555554,47.477777777777774,1.9537777777777776,0.0,0.0,0,66.51408602150536,11.162616487455194
11,2019,7,16,95,126,79.0,56.718603649950296,237.0,0,-0.5000000000000004,0.8660254037844384,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,3.9204301075268817,71.38709677419355,8.65268817204301,47.107526881720425,1.0896774193548386,0.0,0.0,0,62.61297491039425,9.145283154121861
3,2020,19,,,,,,,0,1.0,6.123233995736766e-17,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,-3.6804597701149424,74.81609195402298,1.5919540229885056,53.44827586206897,0.69183908045977,0.0,0.0,,-2.0564157706093367,1.0798888888888862
4,2020,92,19,,,,,,0,0.8660254037844387,-0.4999999999999998,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,-3.3301075268817204,66.04301075268818,3.220430107526881,41.97849462365591,1.2924731182795697,0.0,0.0,0,-3.682239525398608,1.268505747126434
5,2020,66,92,19,,,,,0,0.49999999999999994,-0.8660254037844387,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,3.105555555555555,60.988888888888894,10.185555555555556,34.13333333333333,2.3774444444444445,0.0,0.0,0,0.6801260659992403,2.2956025213199824
6,2020,31,66,92,19,59.0,37.0,177.0,1,1.2246467991473532e-16,-1.0,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,10.53978494623656,63.70967741935484,17.151612903225807,36.82795698924731,3.235806451612904,17.151612903225807,0.08554007959067654,66,14.997939686070925,4.3617566431837815
7,2020,115,31,66,92,63.0,30.610455730027933,189.0,1,-0.4999999999999997,-0.8660254037844388,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,13.323333333333332,68.98888888888888,19.26555555555556,41.74444444444444,3.4186666666666667,19.26555555555556,0.07997920457499351,31,30.557598566308226,6.905724014336915
8,2020,283,115,31,66,70.66666666666667,42.19399641339196,212.0,1,-0.8660254037844385,-0.5000000000000004,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,16.35268817204301,70.1505376344086,22.77741935483871,42.67741935483871,3.8183870967741935,22.77741935483871,0.08742245199409157,115,46.60272401433691,9.031917562724013
9,2020,62,283,115,31,143.0,128.31211945876353,429.0,0,-1.0,-1.8369701987210297e-16,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,16.38279569892473,62.64516129032258,23.23225806451613,35.04301075268817,3.566774193548387,0.0,0.0,0,59.19458781362006,10.472860215053762
10,2020,13,62,283,115,153.33333333333334,115.37908533756598,460.0,0,-0.8660254037844386,0.5000000000000001,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,13.74222222222222,69.44444444444444,20.336666666666662,41.86666666666667,2.433333333333333,0.0,0.0,0,65.27523297491038,10.803827956989245
11,2020,2,13,62,283,119.33333333333333,143.8413477875306,358.0,0,-0.5000000000000004,0.8660254037844384,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,4.711827956989247,73.27956989247312,9.30215053763441,50.516129032258064,1.0572043010752687,0.0,0.0,0,66.34634408602147,9.818494623655912
12,2020,1,2,13,62,25.666666666666668,31.94265695482042,77.0,0,-2.4492935982947064e-16,1.0,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,-1.6233333333333333,77.22222222222221,2.3211111111111107,61.23333333333333,0.5108888888888888,0.0,0.0,0,52.87107526881719,7.057311827956987
1,2021,2,1,2,13,5.333333333333333,6.65832811847974,16.0,0,0.49999999999999994,0.8660254037844387,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,-2.703225806451613,76.74193548387096,0.4086021505376344,64.04301075268818,0.3711827956989247,0.0,0.0,0,31.959928315412164,4.001426523297488
3,2021,21,,2,1,,,,0,1.0,6.123233995736766e-17,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,-8.911904761904761,70.98809523809524,-3.892857142857143,51.54761904761904,0.6170238095238095,-0.0,0.0,,2.8275627240143186,1.280351254480284
4,2021,145,21,,2,,,,0,0.8660254037844387,-0.4999999999999998,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,0.1817204301075269,67.13978494623656,6.45268817204301,43.02150537634409,1.4219354838709677,0.0,0.0,0,-3.386405529953935,1.3864861751152047
5,2021,110,145,21,,,,,0,0.49999999999999994,-0.8660254037844387,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,5.016666666666667,55.44444444444444,12.457777777777778,30.711111111111112,2.6966666666666663,0.0,0.0,0,2.657680491551441,2.4372388632872477
6,2021,255,110,145,21,92.0,63.92964883369845,276.0,1,1.2246467991473532e-16,-1.0,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,10.33978494623656,59.41935483870968,17.103225806451615,32.97849462365591,3.416559139784946,17.103225806451615,0.1005506329113924,110,15.017608806963628,4.735625960061441
7,2021,784,255,110,145,170.0,75.66372975210776,510.0,1,-0.4999999999999997,-0.8660254037844388,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,17.48111111111111,56.93333333333333,24.56888888888889,31.31111111111112,4.629,24.56888888888889,0.14326341127922967,255,36.01369175627239,7.535161290322577
8,2021,263,784,255,110,383.0,354.7633013714919,1149.0,1,-0.8660254037844385,-0.5000000000000004,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,20.34193548387097,54.096774193548384,27.52795698924731,28.806451612903224,5.02247311827957,27.52795698924731,0.16850288600288602,784,54.12989247311826,10.742225806451609
9,2021,53,263,784,255,434.0,303.13528333072674,1302.0,0,-1.0,-1.8369701987210297e-16,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,17.634408602150536,62.11827956989247,24.36989247311828,34.12903225806452,3.607849462365592,0.0,0.0,0,69.2000716845878,13.068032258064513
