latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.151142,-62.914032,0.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),precipitation_sum (mm),precipitation_hours (h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),relative_humidity_2m_min (%)
1990-08-15,19.5,23.3,0.20,1.0,264,4.51,22.2,17.8,74,54
1990-08-16,19.8,21.9,0.00,0.0,273,4.23,17.8,13.0,78,69
1990-08-17,21.1,25.3,0.00,0.0,210,4.42,22.9,16.8,77,59
1990-08-18,22.5,26.6,0.00,0.0,222,5.06,28.0,23.8,72,55
1990-08-19,16.9,22.5,15.70,12.0,349,3.18,30.4,24.1,75,56
1990-08-20,15.6,17.3,0.00,0.0,348,4.33,19.9,14.0,58,49
1990-08-21,16.2,19.6,0.00,0.0,224,4.05,16.4,13.0,67,55
1990-08-22,17.6,21.5,0.00,0.0,228,4.56,20.8,18.3,67,55
1990-08-23,18.8,23.2,0.00,0.0,232,4.59,22.8,19.2,68,56
1990-08-24,19.1,20.9,0.00,0.0,53,3.93,19.2,12.7,77,62
1990-08-25,20.6,25.5,0.00,0.0,206,4.34,16.9,13.6,72,51
1990-08-26,21.9,26.0,0.70,2.0,261,4.39,15.6,8.5,75,63
1990-08-27,22.4,27.9,0.00,0.0,192,4.11,17.7,12.2,77,52
1990-08-28,21.7,24.4,0.20,1.0,207,3.27,21.1,14.2,82,69
1990-08-29,21.9,26.8,1.30,2.0,222,3.70,22.7,11.9,80,52
1990-08-30,20.0,21.7,2.10,3.0,305,3.10,17.6,12.5,82,60
1990-08-31,19.2,23.2,0.00,0.0,252,4.13,16.4,12.3,70,49
1990-09-01,18.6,21.5,0.00,0.0,95,4.10,15.9,9.0,68,50
1990-09-02,19.9,24.3,0.50,2.0,213,3.93,24.1,19.1,73,52
1990-09-03,16.5,20.0,13.60,16.0,26,2.56,27.2,20.9,78,61
1990-09-04,15.6,18.4,0.00,0.0,53,4.09,23.4,12.2,59,53
1990-09-05,16.5,18.6,0.50,1.0,220,2.71,23.7,17.9,73,59
1990-09-06,17.9,21.0,0.00,0.0,225,3.10,11.0,6.7,84,67
1990-09-07,19.3,24.0,1.10,1.0,201,3.40,23.1,17.6,76,56
1990-09-08,14.5,19.4,8.50,7.0,338,3.22,38.1,30.0,67,47
1990-09-09,14.5,18.9,0.00,0.0,214,3.75,21.0,14.5,58,46
1990-09-10,15.3,17.9,2.40,3.0,186,1.61,20.5,12.1,82,70
1990-09-11,15.9,17.9,0.40,2.0,323,2.09,18.5,12.0,88,74
1990-09-12,15.0,19.0,0.00,0.0,113,3.35,13.3,9.7,65,52
1990-09-13,15.7,18.0,0.30,2.0,286,2.44,27.0,21.7,83,69
1990-09-14,14.2,20.2,0.00,0.0,144,3.42,17.0,13.1,64,53
1990-09-15,17.3,20.5,0.00,0.0,163,2.69,29.6,24.3,82,69
1990-09-16,17.6,18.9,7.60,5.0,199,2.38,35.6,24.7,81,66
1990-09-17,14.6,16.3,5.20,6.0,269,1.81,17.9,11.9,79,72
1990-09-18,12.0,13.0,0.10,1.0,309,2.41,18.5,12.3,69,60
1990-09-19,11.0,12.4,1.50,7.0,290,2.03,18.1,12.1,70,62
1990-09-20,12.3,14.3,23.00,10.0,139,1.59,36.4,16.3,81,62
1990-09-21,12.3,14.1,18.30,14.0,317,2.24,47.5,31.6,76,60
1990-09-22,13.6,15.9,0.00,0.0,244,2.04,10.9,7.9,79,65
1990-09-23,15.1,19.0,9.70,10.0,148,0.90,42.3,24.1,88,80
1990-09-24,15.5,17.9,0.00,0.0,221,2.58,21.9,18.7,80,61
1990-09-25,13.4,15.8,0.00,0.0,230,2.52,21.8,14.3,74,60
1990-09-26,13.8,17.7,0.00,0.0,165,2.49,10.5,8.1,81,64
1990-09-27,14.5,18.0,0.00,0.0,179,1.89,15.6,11.3,83,68
1990-09-28,15.4,18.9,0.00,0.0,223,2.29,20.4,15.7,85,69
1990-09-29,14.6,16.5,0.00,0.0,253,1.41,17.4,13.9,89,82
1990-09-30,13.0,14.4,0.20,2.0,49,2.22,17.9,14.9,75,63
1990-10-01,15.3,17.7,2.20,7.0,151,0.90,24.2,19.4,90,80
1990-10-02,12.5,13.9,1.90,4.0,299,2.12,19.8,11.3,69,55
